date,market,commodity,unit,pricetype,currency,price
2017-09-15,Kisumu,Maize,KG,Wholesale,KES,39.71
2017-09-15,Kisumu,Beans,KG,Wholesale,KES,73.7
2017-10-15,Kisumu,Maize,KG,Wholesale,KES,38.13
2017-10-15,Kisumu,Beans,KG,Wholesale,KES,77.5
2017-11-15,Kisumu,Maize,KG,Wholesale,KES,35.63
2017-11-15,Kisumu,Beans,KG,Wholesale,KES,70.23
2017-12-15,Kisumu,Maize,KG,Wholesale,KES,35.02
2017-12-15,Kisumu,Beans,KG,Wholesale,KES,70.04
2018-01-15,Nairobi,Maize,KG,Wholesale,KES,42.27
2018-01-15,Nairobi,Beans,KG,Wholesale,KES,81.27
2018-01-15,Kisumu,Maize,KG,Wholesale,KES,34.53
2018-02-15,Nairobi,Maize,KG,Wholesale,KES,36.86
2018-02-15,Kisumu,Maize,KG,Wholesale,KES,35.01
2018-03-15,Nairobi,Maize,KG,Wholesale,KES,32.97
2018-03-15,Kisumu,Maize,KG,Wholesale,KES,36.48
2018-04-15,Kisumu,Maize,KG,Wholesale,KES,37.32
2018-05-15,Nairobi,Beans,KG,Wholesale,KES,59.21
2018-05-15,Kisumu,Maize,KG,Wholesale,KES,33.46
2018-05-15,Kisumu,Beans,KG,Wholesale,KES,66.23
2018-06-15,Nairobi,Beans,KG,Wholesale,KES,54.71
2018-06-15,Kisumu,Maize,KG,Wholesale,KES,30.88
2018-07-15,Nairobi,Maize,KG,Wholesale,KES,30.19
2018-07-15,Kisumu,Maize,KG,Wholesale,KES,29.86
2018-07-15,Kisumu,Beans,KG,Wholesale,KES,55.47
2018-08-15,Nairobi,Beans,KG,Wholesale,KES,50.11
2018-08-15,Kisumu,Maize,KG,Wholesale,KES,25.67
2018-08-15,Kisumu,Beans,KG,Wholesale,KES,59.91
2018-09-15,Nairobi,Beans,KG,Wholesale,KES,54.61
2018-09-15,Kisumu,Maize,KG,Wholesale,KES,29.25
2018-09-15,Kisumu,Beans,KG,Wholesale,KES,60.06
2018-10-15,Nairobi,Maize,KG,Wholesale,KES,22.17
2018-10-15,Nairobi,Beans,KG,Wholesale,KES,56.01
